"setting","mech","n","cens","method","R","mean_cov","mcse_cov","med_cov","pac_success","mean_short","mean_abscal","med_lpb","worst_slice","sd_tau","sd_cov","mean_maxwt","mean_ess","mean_clipfrac"
"B","C2",1200,0.6,"Oracle",100,0.900005,0.000630395699044448,0.9005,0.53,0.00255000000000002,0.005105,0.580893084125632,0.88450388149006,NA,0.00630395699044448,NA,NA,NA
"C","C2",1200,0.6,"Oracle",100,0.900005,0.000630395699044448,0.9005,0.53,0.00255000000000002,0.005105,0.564350591845863,0.88471399082953,NA,0.00630395699044448,NA,NA,NA
"B","C3",1200,0.6,"Oracle",100,0.900005,0.000630395699044448,0.9005,0.53,0.00255000000000002,0.005105,0.580893084125632,0.885330026255339,NA,0.00630395699044448,NA,NA,NA
"C","C3",1200,0.6,"Oracle",100,0.900005,0.000630395699044448,0.9005,0.53,0.00255000000000002,0.005105,0.564350591845863,0.885367701336467,NA,0.00630395699044448,NA,NA,NA
"B","C2",600,0.8,"Oracle",100,0.900635,0.000710201813685108,0.90025,0.54,0.00254500000000001,0.005725,0.584743363783701,0.885303747276923,NA,0.00710201813685109,NA,NA,NA
"C","C2",600,0.8,"Oracle",100,0.900635,0.000710201813685108,0.90025,0.54,0.00254500000000001,0.005725,0.564601833403486,0.886092423574024,NA,0.00710201813685109,NA,NA,NA
"B","C3",600,0.8,"Oracle",100,0.900635,0.000710201813685108,0.90025,0.54,0.00254500000000001,0.005725,0.584743363783701,0.88437396621967,NA,0.00710201813685109,NA,NA,NA
"C","C3",600,0.8,"Oracle",100,0.900635,0.000710201813685108,0.90025,0.54,0.00254500000000001,0.005725,0.564601833403486,0.887039789995175,NA,0.00710201813685109,NA,NA,NA
"B","C2",1200,0.8,"Oracle",100,0.900005,0.000630395699044448,0.9005,0.53,0.00255000000000002,0.005105,0.580893084125632,0.88531751959965,NA,0.00630395699044448,NA,NA,NA
"C","C2",1200,0.8,"Oracle",100,0.900005,0.000630395699044448,0.9005,0.53,0.00255000000000002,0.005105,0.564350591845863,0.88560222676841,NA,0.00630395699044448,NA,NA,NA
"B","C3",1200,0.8,"Oracle",100,0.900005,0.000630395699044448,0.9005,0.53,0.00255000000000002,0.005105,0.580893084125632,0.885402246545416,NA,0.00630395699044448,NA,NA,NA
"C","C3",1200,0.8,"Oracle",100,0.900005,0.000630395699044448,0.9005,0.53,0.00255000000000002,0.005105,0.564350591845863,0.885511415227606,NA,0.00630395699044448,NA,NA,NA
